suburb,timestamp,price,percentage_change
Boston,2023-10-17,624500.0,20.81756245268736
Boston,2023-10-23,624500.0,20.81756245268736
Boston,2023-11-11,624500.0,20.81756245268736
Boston,2024-05-24,692400.0,20.81756245268736
Bowden,2023-08-22,708800.0,2.299661399548533
Bowden,2023-09-19,725100.0,2.299661399548533
Bowden,2023-09-28,725100.0,2.299661399548533
Bowden,2023-10-17,726600.0,2.299661399548533
Bowden,2023-10-23,726600.0,2.299661399548533
Bowden,2023-11-11,726600.0,2.299661399548533
Bowden,2024-05-24,733300.0,2.299661399548533
Bowhill,2023-08-22,763300.0,0.0
Bowhill,2023-09-19,763300.0,0.0
Bowhill,2023-09-28,763300.0,0.0
Bowhill,2023-10-17,763300.0,0.0
Bowhill,2023-10-23,763300.0,0.0
Bowhill,2023-11-11,763300.0,0.0
Bowhill,2024-05-24,763300.0,0.0
Bradbury,2023-08-22,1190600.0,0.0
Bradbury,2023-09-19,1190600.0,0.0
Bradbury,2023-09-28,1190600.0,0.0
Bradbury,2023-10-17,1190600.0,0.0
Bradbury,2023-10-23,1190600.0,0.0
Bradbury,2023-11-11,1190600.0,0.0
Bradbury,2024-05-24,1190600.0,0.0
Brahma Lodge,2023-08-22,491000.0,2.830957230142566
Brahma Lodge,2023-09-19,504900.0,2.830957230142566
Brahma Lodge,2023-09-28,504900.0,2.830957230142566
Brahma Lodge,2023-10-17,512100.0,2.830957230142566
Brahma Lodge,2023-10-23,512100.0,2.830957230142566
Brahma Lodge,2023-11-11,512100.0,2.830957230142566
Brahma Lodge,2024-05-24,557900.0,2.830957230142566
Bridgewater,2023-08-22,827200.0,3.977272727272727
Bridgewater,2023-09-19,860100.0,3.977272727272727
Bridgewater,2023-09-28,860100.0,3.977272727272727
Bridgewater,2023-10-17,869400.0,3.977272727272727
Bridgewater,2023-10-23,869400.0,3.977272727272727
Bridgewater,2023-11-11,869400.0,3.977272727272727
Bridgewater,2024-05-24,915300.0,3.977272727272727
Brighton,2023-08-22,1157100.0,5.358223144067064
Brighton,2023-09-19,1219100.0,5.358223144067064
Brighton,2023-09-28,1219100.0,5.358223144067064
Brighton,2023-10-17,1209600.0,5.358223144067064
Brighton,2023-10-23,1209600.0,5.358223144067064
Brighton,2023-11-11,1209600.0,5.358223144067064
Brighton,2024-05-24,1374400.0,5.358223144067064
