suburb,lower_date,upper_date,pct_change
Meningie,2023-08-22,2024-05-24,23.256475946484485
Middleton,2023-08-22,2024-05-24,-1.5763334053120275
Mil Lel,2023-08-22,2024-05-24,0.0
Milang,2023-08-22,2024-05-24,1.5951471579420353
Mile End,2023-08-22,2024-05-24,11.447513812154696
Millicent,2023-08-22,2024-05-24,-13.53781068217874
Millswood,2023-08-22,2024-05-24,-4.6094129063561375
Minlaton,2023-08-22,2024-05-24,-3.1347962382445136
Minnipa,2023-08-22,2024-05-24,0.0
Miranda,2023-08-22,2024-05-24,0.0
Mitcham,2023-08-22,2024-05-24,-16.884057971014492
Mitchell Park,2023-08-22,2024-05-24,6.432748538011696
Moana,2023-08-22,2024-05-24,16.5927363459939
Moculta,2023-08-22,2024-05-24,-35.36773529915995
Modbury,2023-08-22,2024-05-24,14.022449321494387
Modbury Heights,2023-08-22,2024-05-24,9.430496019595836
Modbury North,2023-08-22,2024-05-24,13.661022521782016
Monarto South,2023-08-22,2024-05-24,0.0
Monash,2023-08-22,2024-05-24,-32.06701733878823
Montacute,2023-08-22,2024-05-24,0.0
Moonta,2023-08-22,2024-05-24,-4.6045133348529745
Moonta Bay,2023-08-22,2024-05-24,17.75760135135135
Moonta Mines,2023-08-22,2024-05-24,-21.2001579155152
Moorak,2023-08-22,2024-05-24,56.45193658438692
Moorook,2023-08-22,2024-05-24,0.0
Morgan,2023-08-22,2024-05-24,-41.92670157068063
Morphett Vale,2023-08-22,2024-05-24,11.545765286745159
Morphettville,2023-08-22,2024-05-24,18.12882127115029
Mount Barker,2023-08-22,2024-05-24,7.934488789950708
Mount Burr,2023-08-22,2024-05-24,27.253333333333334
Mount Compass,2023-08-22,2024-05-24,-0.2915451895043732
Mount Gambier,2023-08-22,2024-05-24,18.017348203221808
Mount George,2023-08-22,2024-05-24,0.0
Mount Osmond,2023-08-22,2024-05-24,-3.641547861507128
Mount Pleasant,2023-08-22,2024-05-24,11.858850752024681
Mount Torrens,2023-08-22,2024-05-24,25.98826436071649
Mundulla,2023-08-22,2024-05-24,0.0
Munno Para,2023-08-22,2024-05-24,21.78484107579462
Munno Para West,2023-08-22,2024-05-24,18.094600624721107
Murbko,2023-08-22,2024-05-24,0.0
Murray Bridge,2023-08-22,2024-05-24,15.887611749680715
Murray Bridge East,2023-08-22,2024-05-24,20.876585928489042
Murray Bridge South,2023-08-22,2024-05-24,0.0
Mylor,2023-08-22,2024-05-24,-1.9155728981908478
Mypolonga,2023-08-22,2024-05-24,-22.46696035242291
Myponga,2023-08-22,2024-05-24,32.00381679389313
Myrtle Bank,2023-08-22,2024-05-24,1.4528901914323127
Nailsworth,2023-08-22,2024-05-24,0.2714773622909187
Nairne,2023-08-22,2024-05-24,11.702827087442472
Nangkita,2023-08-22,2024-05-24,0.0
Nangwarry,2023-08-22,2024-05-24,28.052631578947366
Napperby,2023-08-22,2024-05-24,-11.443400889767672
Naracoorte,2023-08-22,2024-05-24,11.521675880128019
Nene Valley,2023-08-22,2024-05-24,0.0
Nepean Bay,2023-08-22,2024-05-24,21.340856289412546
Netherby,2023-08-22,2024-05-24,6.965865068342958
Netley,2023-08-22,2024-05-24,9.210693019130876
New Port,2023-08-22,2024-05-24,9.649529102979775
New Town,2023-08-22,2024-05-24,4.730538922155689
Newton,2023-08-22,2024-05-24,8.667799712380702
Nildottie,2023-08-22,2024-05-24,0.0
Noarlunga Centre,2023-08-22,2024-05-24,0.0
Noarlunga Downs,2023-08-22,2024-05-24,15.783005617977528
Normanville,2023-08-22,2024-05-24,5.695266272189349
North Adelaide,2023-08-22,2024-05-24,18.379197172431205
North Beach,2023-08-22,2024-05-24,8.93729641693811
North Brighton,2023-08-22,2024-05-24,4.819277108433735
North Haven,2023-08-22,2024-05-24,10.252259544044247
North Moonta,2023-08-22,2024-05-24,0.0
North Plympton,2023-08-22,2024-05-24,5.70813821035312
North Shields,2023-08-22,2024-05-24,0.0
Northern Heights,2023-08-22,2024-05-24,0.0
Northfield,2023-08-22,2024-05-24,14.618581181359454
Northgate,2023-08-22,2024-05-24,7.140158670192672
Norton Summit,2023-08-22,2024-05-24,0.0
Norwood,2023-08-22,2024-05-24,3.163553048995418
Novar Gardens,2023-08-22,2024-05-24,9.474789915966387
Nuriootpa,2023-08-22,2024-05-24,9.037006747086487
O'Halloran Hill,2023-08-22,2024-05-24,12.692613185067515
O'Sullivan Beach,2023-08-22,2024-05-24,16.733909702209417
Oakbank,2023-08-22,2024-05-24,11.20248538011696
