suburb,price,timestamp,pct_change
Bugle Ranges,980000.0,2023-09-28,0.0000
Bugle Ranges,980000.0,2023-10-17,0.0000
Bugle Ranges,980000.0,2023-10-23,0.0000
Bugle Ranges,980000.0,2023-11-11,0.0000
Bugle Ranges,980000.0,2024-05-24,0.0000
Burnside,1282900.0,2023-08-22,nan
Burnside,1318500.0,2023-09-19,2.7750
Burnside,1318500.0,2023-09-28,0.0000
Burnside,1297800.0,2023-10-17,-1.5700
Burnside,1297800.0,2023-10-23,0.0000
Burnside,1297800.0,2023-11-11,0.0000
Burnside,1474200.0,2024-05-24,13.5922
Burra,314700.0,2023-08-22,nan
Burra,329500.0,2023-09-19,4.7029
Burra,329500.0,2023-09-28,0.0000
Burra,332600.0,2023-10-17,0.9408
Burra,332600.0,2023-10-23,0.0000
Burra,332600.0,2023-11-11,0.0000
Burra,357200.0,2024-05-24,7.3963
Burton,564900.0,2023-08-22,nan
Burton,534300.0,2023-09-19,-5.4169
Burton,534300.0,2023-09-28,0.0000
Burton,541400.0,2023-10-17,1.3288
Burton,541400.0,2023-10-23,0.0000
Burton,541400.0,2023-11-11,0.0000
Burton,621000.0,2024-05-24,14.7026
Bute,282100.0,2023-08-22,nan
Bute,282100.0,2023-09-19,0.0000
Bute,282100.0,2023-09-28,0.0000
Bute,282100.0,2023-10-17,0.0000
Bute,282100.0,2023-10-23,0.0000
Bute,282100.0,2023-11-11,0.0000
Bute,282100.0,2024-05-24,0.0000
Cadell,204200.0,2023-08-22,nan
Cadell,204200.0,2023-09-19,0.0000
Cadell,204200.0,2023-09-28,0.0000
Cadell,204200.0,2023-10-17,0.0000
Cadell,204200.0,2023-10-23,0.0000
Cadell,204200.0,2023-11-11,0.0000
Cadell,265100.0,2024-05-24,29.8237
Callington,350900.0,2023-08-22,nan
Callington,411200.0,2023-09-19,17.1844
Callington,411200.0,2023-09-28,0.0000
Callington,440600.0,2023-10-17,7.1498
Callington,440600.0,2023-10-23,0.0000
Callington,440600.0,2023-11-11,0.0000
Callington,546400.0,2024-05-24,24.0127
Cambrai,196600.0,2023-08-22,nan
Cambrai,196600.0,2023-09-19,0.0000
Cambrai,196600.0,2023-09-28,0.0000
Cambrai,196600.0,2023-10-17,0.0000
Cambrai,196600.0,2023-10-23,0.0000
Cambrai,196600.0,2023-11-11,0.0000
Cambrai,196600.0,2024-05-24,0.0000
Camden Park,738600.0,2023-08-22,nan
Camden Park,738400.0,2023-09-19,-0.0271
Camden Park,738400.0,2023-09-28,0.0000
Camden Park,743400.0,2023-10-17,0.6771
Camden Park,743400.0,2023-10-23,0.0000
Camden Park,743400.0,2023-11-11,0.0000
Camden Park,801900.0,2024-05-24,7.8692
Campbelltown,757800.0,2023-08-22,nan
Campbelltown,768100.0,2023-09-19,1.3592
Campbelltown,768100.0,2023-09-28,0.0000
Campbelltown,769300.0,2023-10-17,0.1562
Campbelltown,769300.0,2023-10-23,0.0000
Campbelltown,769300.0,2023-11-11,0.0000
Campbelltown,833000.0,2024-05-24,8.2803
Cape Jaffa,417300.0,2023-08-22,nan
Cape Jaffa,417300.0,2023-09-19,0.0000
Cape Jaffa,417300.0,2023-09-28,0.0000
Cape Jaffa,417300.0,2023-10-17,0.0000
Cape Jaffa,417300.0,2023-10-23,0.0000
Cape Jaffa,417300.0,2023-11-11,0.0000
Cape Jaffa,417300.0,2024-05-24,0.0000
Cape Jervis,451700.0,2023-08-22,nan
Cape Jervis,316200.0,2023-09-19,-29.9978
Cape Jervis,316200.0,2023-09-28,0.0000
Cape Jervis,316200.0,2023-10-17,0.0000
Cape Jervis,316200.0,2023-10-23,0.0000
Cape Jervis,316200.0,2023-11-11,0.0000
Cape Jervis,317500.0,2024-05-24,0.4111
Carey Gully,990300.0,2023-08-22,nan
Carey Gully,990300.0,2023-09-19,0.0000
Carey Gully,990300.0,2023-09-28,0.0000
Carey Gully,990300.0,2023-10-17,0.0000
Carey Gully,990300.0,2023-10-23,0.0000
Carey Gully,990300.0,2023-11-11,0.0000
Carey Gully,990300.0,2024-05-24,0.0000
Carpenter Rocks,303300.0,2023-08-22,nan
Carpenter Rocks,303300.0,2023-09-19,0.0000
Carpenter Rocks,303300.0,2023-09-28,0.0000
Carpenter Rocks,303300.0,2023-10-17,0.0000
Carpenter Rocks,303300.0,2023-10-23,0.0000
Carpenter Rocks,303300.0,2023-11-11,0.0000
Carpenter Rocks,303300.0,2024-05-24,0.0000
Carrickalinga,633100.0,2023-08-22,nan
Carrickalinga,636800.0,2023-09-19,0.5844
Carrickalinga,636800.0,2023-09-28,0.0000
